pos,segment,scenario,AdaptIdx_local,AdaptIdx_blend
44,2026-01..2026-02 (S2),2,0.961393427981011,0.6571852226859713
44,2026-03..2026-04 (S3),3,1.2,0.7033547111147476
45,2026-03..2026-04 (S3),3,0.8898126915848145,1.0420504384234754
46,2026-03..2026-04 (S3),3,0.9934764343608842,0.9494582728302641
47,2026-03..2026-04 (S3),3,0.9068319872158731,0.9802141162357019
48,2026-03..2026-04 (S3),3,0.9911793389251291,0.9715085964065293
49,2026-03..2026-04 (S3),3,0.9844632269515506,0.9951047834306603
50,2026-03..2026-04 (S3),3,0.9930120642927586,1.0018656667127992
51,2026-03..2026-04 (S3),3,1.0226143134069732,1.006658473819714
52,2026-03..2026-04 (S3),3,1.0043490437594105,0.9589877857221278
53,2026-03..2026-04 (S3),3,0.8152531974204275,0.6181163479198035
53,2026-05..2026-06 (S1),1,0.5418608912433995,0.5666666666666667
54,2026-05..2026-06 (S1),1,0.7521478676203658,0.8766646241973084
55,2026-05..2026-06 (S1),1,0.9147463900735762,0.9285690112924694
56,2026-05..2026-06 (S1),1,0.9933464718665231,0.9743448774192849
57,2026-05..2026-06 (S1),1,0.9792338567226476,1.0007365599344886
58,2026-05..2026-06 (S1),1,1.0050325258231918,1.0003107346467668
59,2026-05..2026-06 (S1),1,1.004435685422318,1.0008889811124302
60,2026-05..2026-06 (S1),1,0.9890623377774365,0.9892543065191044
61,2026-05..2026-06 (S1),1,0.9742648963575591,0.6544424113783318
62,2026-07..2026-08 (S2),2,0.7654712164309234,0.5666666666666667
63,2026-07..2026-08 (S2),2,0.5690164236534151,0.85
64,2026-07..2026-08 (S2),2,0.8889059097509546,0.8862488051270282
65,2026-07..2026-08 (S2),2,0.9937199958084185,0.9220528819190873
66,2026-07..2026-08 (S2),2,0.9806955046629554,0.9498404734761141
67,2026-07..2026-08 (S2),2,0.9447119828816315,0.9593456954146351
68,2026-07..2026-08 (S2),2,0.9872620811966478,0.9749371751095942
69,2026-07..2026-08 (S2),2,1.0041866694610544,1.0082714102684194
70,2026-07..2026-08 (S2),2,1.0333654801475567,0.679184049869537
70,2026-09..2026-10 (S3),3,1.2,0.7080747158457712
71,2026-09..2026-10 (S3),3,0.9044810566858126,1.04240192792654
72,2026-09..2026-10 (S3),3,0.9815561437148893,0.9755266486111664
73,2026-09..2026-10 (S3),3,0.9833628392633155,1.0109293799594732
