pos,label,n,AUPRC,F1,Recall,Specificity,Precision,G-Mean,infer_ms_per_tx,infer_ms_avg
15,2025-W32,20079,0.8720575839876686,0.8443935926773455,0.7424547283702213,0.9995914615463181,0.9787798408488063,0.8614820990964143,1.1199209839105606,5.5775735042111684e-05
16,2025-W33,19787,0.9021353075912123,0.8942245295262816,0.8361650485436893,0.9985234403839055,0.9609483960948396,0.9137452604531637,1.099372049793601,5.556031989657861e-05
17,2025-W34,20194,0.9051370444248331,0.8863322595490106,0.8085642317380353,0.99900015786981,0.9806517311608961,0.8987523547419383,1.0982799576595426,5.4386449324529194e-05
18,2025-W35,20014,0.8682746146001568,0.8800398208063713,0.8269410664172123,0.9970440749538136,0.9404255319148936,0.9080180012572822,1.3033469440415502,6.512176196869943e-05
19,2025-W36,20052,0.5120632279352666,0.5973154362416108,0.6722054380664653,0.9802475502836514,0.5374396135265701,0.8117436380730072,1.1173230595886707,5.572127765752398e-05
20,2025-W37,20062,0.5376321893432785,0.5057216685123662,0.4796918767507003,0.9680154556187615,0.5347384855581577,0.6814316918293777,1.3395460555329919,6.677031480076721e-05
21,2025-W38,20001,0.5711074271148123,0.587273530711445,0.6527504911591355,0.9353743389924853,0.5337349397590362,0.7813872658259773,1.143071218393743,5.715070338451793e-05
22,2025-W39,20098,0.6201795199772921,0.633322181331549,0.7116541353383459,0.9182819130634247,0.5705244122965641,0.8083929247822457,1.1985870078206062,5.963712846156863e-05
23,2025-W40,20035,0.5157702045774742,0.5459317585301837,0.5110565110565111,0.9925106990014265,0.5859154929577465,0.7122001509533173,1.5160099137574434,7.566807655390285e-05
24,2025-W41,20098,0.5135084855591833,0.6002198607548552,0.7365107913669064,0.95796902981144,0.5064935064935064,0.8399729330468996,1.6222100239247084,8.071499770746882e-05
25,2025-W42,19932,0.5513141739845547,0.6296544035674471,0.7861915367483296,0.9295875606528452,0.5251022685013016,0.8548882224313255,1.0738720884546638,5.3876785493410784e-05
26,2025-W43,19948,0.5760808581347674,0.6566391719230147,0.841276419394944,0.9007698887938409,0.5384615384615384,0.8705150583093118,1.8602609634399414,9.32555125045088e-05
27,2025-W44,22522,0.5667826889672352,0.5947078857741682,0.6405191873589164,0.9561445783132531,0.5550122249388753,0.7825783975416384,2.2704380098730326,0.00010080978642540772
28,2025-W45,23973,0.9612279821489191,0.8362168396770473,0.7420675537359263,0.998608453644112,0.9577278731836195,0.8608338587298378,1.4185229083523154,5.9171689331844806e-05
29,2025-W46,23876,0.9891066337722949,0.9131428571428571,0.8545454545454545,0.9993025587376313,0.9803680981595092,0.9240938584823972,1.3290749629959464,5.5665729728427976e-05
30,2025-W47,23912,0.99615364639675,0.9479892761394102,0.9943757030371203,0.996003996003996,0.9057377049180327,0.9951895165013821,1.442458014935255,6.032360383636898e-05
31,2025-W48,24987,0.9068541024913424,0.8162055335968379,0.8862660944206009,0.9889420078985658,0.7564102564102564,0.9361975063781834,1.5042551094666123,6.020150916342948e-05
32,2025-W49,27219,0.9973210378183324,0.7971014492753623,1.0,0.9851790237816175,0.6626506024096386,0.9925618488445027,2.7381120016798377,0.00010059561342003151
33,2025-W50,27289,0.9975601813931892,0.9045691150954309,1.0,0.9937752291847437,0.8257655755015839,0.9968827559872544,1.5367569867521524,5.631415540152268e-05
34,2025-W51,27168,0.9976527898091119,0.9533923303834808,0.9963008631319359,0.9971165155366696,0.9140271493212669,0.9967086058985807,1.5566060319542885,5.729556949183924e-05
35,2025-W52,27100,0.9972896439913839,0.9702719797596457,0.9575530586766542,0.9995056846267919,0.9833333333333333,0.9783045157204826,2.5768070481717587,9.508513092884719e-05
36,2026-W01,21106,0.7077090314204495,0.7594108019639935,0.7733333333333333,0.9962030183600884,0.7459807073954984,0.8777226218260157,1.6606819117441773,7.868292958135967e-05
37,2026-W02,19901,0.5554458811646245,0.624,0.703971119133574,0.984183594355714,0.5603448275862069,0.8323682035923138,1.3703829608857632,6.886000506938159e-05
38,2026-W03,19986,0.7917604224229317,0.7450980392156863,0.7323788546255506,0.9888877240800923,0.758266818700114,0.8510231834180815,1.1861040256917477,5.934674400539116e-05
39,2026-W04,20326,0.9002665642275774,0.8517587939698492,0.7951524628616107,0.9951698430198982,0.9170423805229937,0.8895570536187516,1.2112928088754416,5.959327014048222e-05
40,2026-W05,19823,0.9096185817284799,0.8642131979695431,0.7765108323831242,0.9990499313839333,0.9742489270386266,0.8807798214146605,1.4644110342487693,7.387433961805828e-05
41,2026-W06,19887,0.863892478969129,0.807131280388979,0.6916666666666667,0.9995903108516413,0.9688715953307393,0.8314946171437623,1.3215410290285945,6.645250812232084e-05
42,2026-W07,20162,0.8986576274755433,0.8388214904679376,0.7267267267267268,0.9997948297086582,0.9918032786885246,0.8523952275749075,1.325828954577446,6.575880143723072e-05
43,2026-W08,19871,0.911924000095213,0.8679631525076765,0.7758462946020128,0.9993077005005858,0.9849012775842044,0.8805164260822381,1.9445399520918727,9.78581828841967e-05
44,2026-W09,20377,0.8304857332989019,0.8260594560404807,0.7783075089392133,0.9954447742860068,0.8800539083557951,0.8802057387685559,1.9412239780649543,9.526544526009492e-05
45,2026-W10,20225,0.4663427436692181,0.5750286368843069,0.6640211640211641,0.9877059505214894,0.5070707070707071,0.809850390489447,1.3272820506244898,6.562581214459776e-05
46,2026-W11,19956,0.5231706263789183,0.6420198376916141,0.8609431680773881,0.9645041559935177,0.511861969805895,0.9112536769115758,1.3504570815712214,6.767173188871625e-05
47,2026-W12,19948,0.5222849536822163,0.5860271115745568,0.687041564792176,0.9568933283478447,0.5109090909090909,0.8108177906578621,1.1248990194872022,5.639156905390025e-05
48,2026-W13,19976,0.5566791474511236,0.6405353728489483,0.8126137052759248,0.9347956566813991,0.5285996055226825,0.8715662695697401,1.5253678429871798,7.636002417837304e-05
49,2026-W14,20422,0.5380351444615533,0.6361951822112415,0.8319870759289176,0.9216267169404794,0.515,0.875660617662618,2.0104259019717574,9.844412408048953e-05
50,2026-W15,20119,0.5236374928886184,0.64171974522293,0.8520084566596194,0.9166072310308883,0.5146871008939975,0.8837177786339224,1.4255971182137728,7.085824932719185e-05
51,2026-W16,20109,0.554221399168974,0.6608497723823976,0.8514173998044966,0.9178431046891435,0.5399876007439554,0.8840065551922773,1.1889711022377014,5.912631668594666e-05
