pos,segment,scenario,AdaptIdx_local,AdaptIdx_blend
29,2025-11..2025-12 (S1),1,0.7704742548831107,0.85
30,2025-11..2025-12 (S1),1,0.8452345450482445,0.85
31,2025-11..2025-12 (S1),1,0.8289018386857396,0.9088991347824872
32,2025-11..2025-12 (S1),1,1.0401693884948162,0.9409666765536834
33,2025-11..2025-12 (S1),1,0.9462026253135886,0.9767658701283242
34,2025-11..2025-12 (S1),1,0.9573975807239226,0.9773339396294098
35,2025-11..2025-12 (S1),1,1.0284016128507183,0.9452663978582135
36,2025-11..2025-12 (S1),1,0.8140027819137422,0.6261338709502394
36,2026-01..2026-02 (S2),2,0.9174926322421337,0.5682216520551375
37,2026-01..2026-02 (S2),2,0.6610923350993866,0.8515549853884709
38,2026-01..2026-02 (S2),2,0.8972344550787448,0.8779214589613092
39,2026-01..2026-02 (S2),2,0.9852461698774595,0.9127796749633731
40,2026-01..2026-02 (S2),2,0.9896607401311481,0.9214279354179755
41,2026-01..2026-02 (S2),2,0.8920427781833846,0.9458040897608555
42,2026-01..2026-02 (S2),2,1.0068928399125678,0.9756072505958996
43,2026-01..2026-02 (S2),2,1.0439841305113238,1.008420719633709
44,2026-01..2026-02 (S2),2,0.9743851884772355,0.6727897729961865
44,2026-03..2026-04 (S3),3,1.2,0.7252641440470997
45,2026-03..2026-04 (S3),3,0.8929494844376022,1.0794179238836792
46,2026-03..2026-04 (S3),3,0.9722603640901424,1.0250615809900845
47,2026-03..2026-04 (S3),3,0.9709058500435509,1.0451288909851626
48,2026-03..2026-04 (S3),3,0.9920173727914974,1.0202436990726726
49,2026-03..2026-04 (S3),3,0.9668400495142623,1.0021120743346748
50,2026-03..2026-04 (S3),3,0.9825360971052237,0.995948459809908
51,2026-03..2026-04 (S3),3,1.0175035185522325,1.001787122376597
52,2026-03..2026-04 (S3),3,1.0053217514723352,0.9584502197982613
53,2026-03..2026-04 (S3),3,0.8525253893702163,0.6192823802808505
53,2026-05..2026-06 (S1),1,0.5718194749204272,0.5685649646415011
54,2026-05..2026-06 (S1),1,0.8499996602336096,0.8976745999268556
55,2026-05..2026-06 (S1),1,0.9807575579509296,0.9503004157686847
56,2026-05..2026-06 (S1),1,1.002846363166862,0.9772087953473635
57,2026-05..2026-06 (S1),1,0.9333037753609449,0.9760029564912096
58,2026-05..2026-06 (S1),1,0.982074571571917,0.9589104881501802
59,2026-05..2026-06 (S1),1,0.9566000425023994,0.9802426090684753
60,2026-05..2026-06 (S1),1,1.0004163954154248,0.9854639482648955
61,2026-05..2026-06 (S1),1,0.9993754068768627,0.6665972674307624
62,2026-07..2026-08 (S2),2,0.7034692298865284,0.5666666666666667
63,2026-07..2026-08 (S2),2,0.6538714299419581,0.85
64,2026-07..2026-08 (S2),2,0.8126709284447685,0.891876507487729
65,2026-07..2026-08 (S2),2,0.9906284879398954,0.9246341712196611
66,2026-07..2026-08 (S2),2,0.9579919220877412,0.9549252287301908
67,2026-07..2026-08 (S2),2,0.9456947172907557,0.9571487506074546
68,2026-07..2026-08 (S2),2,0.9823000880949788,0.9764736451111014
69,2026-07..2026-08 (S2),2,1.0062476747067364,1.0049532460309365
70,2026-07..2026-08 (S2),2,1.0263119752910943,0.6775198833326102
70,2026-09..2026-10 (S3),3,1.2,0.7357908120106055
71,2026-09..2026-10 (S3),3,0.9403069076795102,1.0939444964393163
72,2026-09..2026-10 (S3),3,1.0029291196584247,1.0347163568670852
73,2026-09..2026-10 (S3),3,0.9712703083416256,1.0475216436147372
74,2026-09..2026-10 (S3),3,1.0109767697103753,1.0113689030153012
75,2026-09..2026-10 (S3),3,0.9499249917618456,1.0003695687667558
76,2026-09..2026-10 (S3),3,0.9893175785376703,0.9801524081946963
77,2026-09..2026-10 (S3),3,0.985136814558594,0.9900202378695423
78,2026-09..2026-10 (S3),3,0.9956063205123629,0.9886838583548543
79,2026-09..2026-10 (S3),3,0.985308439993606,0.6603049201686562
