pos,label,n,AUPRC,F1,Recall,Specificity,Precision,G-Mean,infer_ms_per_tx,infer_ms_avg
59,2026-W24,19956,0.9976270793533539,0.9239250275633958,0.8586065573770492,1.0,1.0,0.9266102510640863,1.468279049731791,7.35758192890254e-05
60,2026-W25,20171,0.9969172916979467,0.9662447257383966,0.9571577847439916,0.998802956177787,0.9755058572949947,0.9777586741782865,1.4839578652754426,7.356887934536922e-05
61,2026-W26,20063,0.9960640474865263,0.9652392947103274,0.9657258064516129,0.9981647527659797,0.9647532729103726,0.9818113163110825,1.9516219617798924,9.727468283805475e-05
62,2026-W27,20173,0.639271545395526,0.5950920245398773,0.42731277533039647,0.9998997292690264,0.9797979797979798,0.6536588776770799,1.3558549107983708,6.721136721352157e-05
63,2026-W28,19923,0.5003509162435792,0.5531353135313531,0.7174657534246576,0.9735250012927246,0.45005370569280345,0.8357456841230024,1.4243550831452012,7.149300221579085e-05
64,2026-W29,20103,0.7873176359186473,0.6874699951992319,0.7560718057022175,0.9780747546460639,0.6302816901408451,0.8599388035534872,2.3103420389816165,0.00011492523697864083
65,2026-W30,20113,0.8868566839796138,0.8380112269446672,0.7523398128149748,0.9967955565050203,0.9457013574660633,0.8659844007808603,1.061819028109312,5.2792672804122316e-05
66,2026-W31,20005,0.8782115801508802,0.8104026845637584,0.6841359773371105,0.9998445515311675,0.9938271604938271,0.827060837814825,1.7966710729524493,8.981110087240437e-05
67,2026-W32,20308,0.8606123653521672,0.8,0.6693711967545639,0.9998990663638657,0.9939759036144579,0.8181097937842768,1.1093990178778768,5.46286693853593e-05
68,2026-W33,20235,0.9051296233221049,0.8309659090909091,0.7142857142857143,0.9997939843428101,0.9932088285229203,0.845067192739645,1.1083179851993918,5.477232444770901e-05
69,2026-W34,20001,0.9033140514154301,0.8512241054613936,0.7514546965918537,0.9990956484732418,0.9815418023887079,0.8664728024523917,1.6219899989664555,8.109544517606398e-05
70,2026-W35,20057,0.9055644710408366,0.8681972789115646,0.7829754601226994,0.9985602303631419,0.9742366412213741,0.8842217797751929,1.0789609514176846,5.379473258302261e-05
71,2026-W36,20299,0.4680110630380355,0.6138181818181818,0.7631103074141049,0.979742732705358,0.51338199513382,0.8646685942842617,1.5098580624908209,7.438090854184052e-05
72,2026-W37,19884,0.5742335837830017,0.6546970182750882,0.8515429524603837,0.9518865400053519,0.5317708333333333,0.900317874244123,1.5867231413722038,7.979899121767269e-05
73,2026-W38,19995,0.5549499106724969,0.6340306232477895,0.8054794520547945,0.9261419922949917,0.5227596017069701,0.8637061679059064,1.1051198234781623,5.5269808626064636e-05
74,2026-W39,20128,0.5821034997099572,0.6599504029758214,0.8516,0.8965849784433855,0.5387145748987854,0.8738030485426261,1.9770510261878371,9.822391823270256e-05
75,2026-W40,20318,0.5444646041676723,0.6200967221923697,0.7818428184281843,0.9721144024514811,0.5138023152270703,0.8718031109415108,1.217694953083992,5.993183153282764e-05
76,2026-W41,20118,0.5080869179074173,0.6458116093152589,0.8499542543458372,0.9550591327201051,0.5207399103139013,0.900975345393701,1.2953107943758368,6.438566429942524e-05
77,2026-W42,20055,0.5463289000650682,0.6430824695808923,0.8463819691577699,0.9278676030268387,0.518531976744186,0.8861886982847139,1.8123999470844865,9.037147579578591e-05
78,2026-W43,20101,0.5694881906382485,0.6499168053244593,0.8414476518741921,0.9023622047244094,0.5294117647058824,0.8713728009901235,1.093007973395288,5.4375800875343914e-05
79,2026-W44,21909,0.5893528376966067,0.6431945040790039,0.7430555555555556,0.9424923339868295,0.566994700984103,0.8368537296549714,1.6580478986725211,7.567884881430102e-05
80,2026-W45,24040,0.9075764991716848,0.7745098039215687,0.6854663774403471,0.9966260057098365,0.8901408450704226,0.8265310749129546,2.1847448078915477,9.087956771595456e-05
81,2026-W46,23963,0.9625314529732271,0.8803131991051454,0.8657865786578658,0.9960093693068448,0.8953356086461889,0.9286180830477898,1.967392978258431,8.210128023446276e-05
82,2026-W47,23965,0.9812668935742398,0.8520123839009288,0.7486398258977149,0.9996528681766901,0.9885057471264368,0.8650895613691965,1.3096790062263608,5.464965600777638e-05
83,2026-W48,24565,0.9326281214830013,0.7628205128205128,0.6589147286821705,0.9973797650240892,0.9056316590563166,0.8106714607434597,1.6530770808458328,6.72939988131827e-05
84,2026-W49,26893,0.9956435014826337,0.867657466383581,0.7672090112640801,0.999961677013873,0.998371335504886,0.8758878978064402,2.1032009972259402,7.820626174937494e-05
85,2026-W50,26870,0.9942711860652069,0.9513303049967553,0.9812583668005355,0.9976648930061631,0.9231738035264484,0.9894276241976765,2.768981037661433,0.00010305102484783897
86,2026-W51,27288,0.9982543255651823,0.9671201814058957,0.9895591647331786,0.9981457655339439,0.9456762749445676,0.9938431918686814,2.5675068609416485,9.408922826669775e-05
87,2026-W52,27212,0.9986287506558541,0.9775349119611415,0.990159901599016,0.9989014735406644,0.9652278177458034,0.9945210831089185,1.6694191144779325,6.134863716294034e-05
88,2026-W53,7611,0.9992414572671875,0.9788235294117648,0.9585253456221198,1.0,1.0,0.9790430764895485,0.8159639546647668,0.00010720850803636406
